match_num,round/group,date,time,stadium,where,home,home_score,away_score,away,home_scorers,away_scorers
1,Group A,6/12/2020,17:00, Arena de São Paulo,São Paulo,Brazil,3,1,Croatia,"Neymar 29', 71' (pen.) Oscar 90+1'", Marcelo 11' (o.g.)
2,Group A,6/13/2020,13:00, Estádio das Dunas,Natal,Mexico,1,0,Cameroon,Oribe Peralta 61',
3,Group B,6/13/2020,16:00, Arena Fonte Nova,Salvador,Spain,1,5,Netherlands,Xabi Alonso 27' (pen.)," Robin Van Persie 44', 72' Arjen Robben 53', 80' Stefan De Vrij 65'"
4,Group B,6/13/2020,18:00, Arena Pantanal,Cuiabá,Chile,3,1,Australia,Alexis Sánchez 12' Jorge Valdívia 14' Jean Beausejour 90+2', Cahill 35'
5,Group C,6/14/2020,13:00, Estádio Mineirão,Belo Horizonte,Colombia,3,0,Greece,Pablo Armero 5' Teofilo Gutiérrez 58' James Rodríguez 90+3',
6,Group C,6/14/2020,22:00, Arena Pernambuco,Recife,Côte d'Ivoire,2,1,Japan,Wilfried Bony 64' Gervinho 66', Keisuke Honda 16'
7,Group D,6/14/2020,16:00, Estádio Castelão,Fortaleza,Uruguay,1,3,Costa Rica,Edinson Cavani 24' (pen.), Joel Campbell 54' Oscar Duarte 57' Marcos Ureña 84'
8,Group D,6/14/2020,18:00, Arena Amazônia,Manaus,England,1,2,Italy,Daniel Sturridge 37', Claudio Marchisio 35' Mario Balotelli 50'
9,Group E,6/15/2020,13:00, Estádio Nacional Mané Garrincha,Brasília,Switzerland,2,1,Ecuador,Admir Mehmedi 48' Haris Seferovi? 90+3', Enner Valencia 22'
10,Group E,6/15/2020,16:00, Estádio Beira-Rio,Porto Alegre,France,3,0,Honduras,"Noel Valladares 48' (o.g.) Karim Benzema 45' (pen.), 72'",
11,Group F,6/15/2020,19:00, Estádio do Maracanã,Rio de Janeiro,Argentina,2,1,Bosnia-Herzegovina,Sead Kolašinac 3' (o.g.) Lionel Messi 65', Vedad Ibiševi? 85'
12,Group F,6/16/2020,16:00, Arena da Baixada,Curitiba,Iran,0,0,Nigeria,,
13,Group G,6/16/2020,13:00, Arena Fonte Nova,Salvador,Germany,4,0,Portugal,"Thomas Müller 12' (pen.), 45+1', 78', Mats Hummels 32'",
14,Group G,6/16/2020,19:00, Estádio das Dunas,Natal,Ghana,1,2,United States,André Ayew 82'," Clint Dempsey 1', John Brooks 86'"
15,Group H,6/17/2020,13:00, Estádio Mineirão,Belo Horizonte,Belgium,2,1,Algeria,Marouane Fellaini 70' Dries Mertens 80', Sofiane Feghouli 25' (pen.)
16,Group H,6/17/2020,18:00, Arena Pantanal,Cuiabá,Russia,1,1,South Korea,Alexander Kerzhakov 74', Lee Keunho 68'
17,Group A,6/17/2020,16:00, Estádio Castelão,Fortaleza,Brazil,0,0,Mexico,,
18,Group A,6/18/2020,18:00, Arena Amazônia,Manaus,Cameroon,0,4,Croatia,," Ivica Oli? 11' Ivan Periši? 48' Mario Mandžuki? 61', 73'"
